id_municipio,id_uf,meta_alvo,taxa_base,media_portugues_base,gap_base_meta,uf,regiao,prob_risco_abaixo_meta_2025,pred_risco_abaixo_meta_2025,faixa_risco
2806404,28,43.85,22.21,713.11,-21.64,SE,Nordeste,0.7655672417389052,1,Muito alto
4219150,42,80.0,69.58,754.73,-10.420000000000002,SC,Sul,0.7655412091898154,1,Muito alto
3532843,35,79.25,72.22,770.92,-7.030000000000001,SP,Sudeste,0.7655081107305713,1,Muito alto
1711506,17,67.22,62.32,756.47,-4.899999999999999,TO,Norte,0.7652970158117868,1,Muito alto
4125555,41,80.0,73.08,755.62,-6.920000000000002,PR,Sul,0.7652500821268418,1,Muito alto
2801405,28,47.68,34.24,718.02,-13.439999999999998,SE,Nordeste,0.7652311306231561,1,Muito alto
4115309,41,77.47,66.98,751.05,-10.489999999999995,PR,Sul,0.7651312037762418,1,Muito alto
4128401,41,77.58,66.07,752.15,-11.510000000000005,PR,Sul,0.7649974876625061,1,Muito alto
2807402,28,54.06,46.26,732.15,-7.800000000000004,SE,Nordeste,0.7649666547530681,1,Muito alto
1100502,11,74.83,70.67,751.83,-4.159999999999997,RO,Norte,0.7648302420624085,1,Muito alto
2805604,28,39.04,16.87,699.91,-22.169999999999998,SE,Nordeste,0.7642888703687837,1,Muito alto
2210102,22,77.2,75.0,763.78,-2.200000000000003,PI,Nordeste,0.7640128228819625,1,Muito alto
2111672,21,58.56,35.69,729.1,-22.870000000000005,MA,Nordeste,0.7640010918537,1,Muito alto
2926103,29,33.98,23.58,715.7,-10.399999999999999,BA,Nordeste,0.7639988706497165,1,Muito alto
2102556,21,69.62,61.7,749.69,-7.920000000000002,MA,Nordeste,0.7637651006924394,1,Muito alto
5107107,51,80.0,68.7,765.06,-11.299999999999997,MT,Centro-Oeste,0.7632343654193433,1,Muito alto
3306008,33,62.15,51.43,735.85,-10.719999999999999,RJ,Sudeste,0.7626792960556908,1,Muito alto
2108603,21,61.85,46.82,733.04,-15.030000000000001,MA,Nordeste,0.7617158980669273,1,Muito alto
3534807,35,80.0,76.07,771.37,-3.930000000000007,SP,Sudeste,0.7616454760185537,1,Muito alto
3533254,35,72.18,63.99,752.15,-8.190000000000005,SP,Sudeste,0.7614464943413213,1,Muito alto
2400208,24,54.25,40.86,734.24,-13.39,RN,Nordeste,0.761429192013755,1,Muito alto
2103703,21,70.36,66.32,749.31,-4.040000000000006,MA,Nordeste,0.7612593132645598,1,Muito alto
2203354,22,47.45,11.96,703.84,-35.49,PI,Nordeste,0.7607337894948694,1,Muito alto
3539004,35,80.0,75.61,771.88,-4.390000000000001,SP,Sudeste,0.760598816959386,1,Muito alto
3303609,33,69.35,69.98,748.37,0.6300000000000097,RJ,Sudeste,0.760471198436286,1,Muito alto
3546801,35,74.63,67.17,758.79,-7.459999999999994,SP,Sudeste,0.760460571343586,1,Muito alto
4112306,41,76.98,64.46,751.91,-12.52000000000001,PR,Sul,0.7604384085846482,1,Muito alto
4115358,41,80.0,76.69,753.69,-3.3100000000000023,PR,Sul,0.7604160162075808,1,Muito alto
2922706,29,44.35,50.0,734.03,5.649999999999999,BA,Nordeste,0.7603495888710399,1,Muito alto
2704906,27,65.82,57.65,743.83,-8.169999999999995,AL,Nordeste,0.7598636487600459,1,Muito alto
4214607,42,80.0,70.6,754.88,-9.400000000000006,SC,Sul,0.759808619024306,1,Muito alto
4122107,41,80.0,69.55,759.13,-10.450000000000003,PR,Sul,0.7597867678990997,1,Muito alto
3507456,35,67.24,53.42,742.45,-13.819999999999993,SP,Sudeste,0.7597834623909538,1,Muito alto
3549201,35,80.0,80.0,768.74,0.0,SP,Sudeste,0.759690451141459,1,Muito alto
3539202,35,76.56,69.44,764.22,-7.1200000000000045,SP,Sudeste,0.7595331526151493,1,Muito alto
2104305,21,80.0,88.4,768.0,8.400000000000006,MA,Nordeste,0.7591424752085997,1,Muito alto
